region_id,area_px,perimeter_px,eccentricity,major_axis_length,minor_axis_length,orientation_rad,bbox,centroid_yx
1,94,45.798989873223334,0.9486664944376854,20.974578083679575,6.633801222989175,0.2577294076617237,"[2, 489, 21, 498]","[9.48936170212766, 493.29787234042556]"
2,65,33.21320343559643,0.7713621329250372,12.104535417953292,7.703283543080844,1.3622928205381248,"[10, 174, 19, 186]","[13.492307692307692, 180.44615384615383]"
3,70,31.556349186104043,0.8409213005677528,12.998723649734409,7.034355910079625,0.4105969172299045,"[13, 18, 26, 26]","[19.02857142857143, 21.34285714285714]"
4,51,27.79898987322333,0.8646103125577603,11.628210753747792,5.842513549005022,-0.7634215856374157,"[20, 329, 30, 339]","[25.019607843137255, 333.94117647058823]"
5,46,27.798989873223327,0.9256496160108201,12.860553192339433,4.866199296634844,-0.6685253371043107,"[22, 403, 33, 412]","[26.97826086956522, 406.82608695652175]"
6,66,32.14213562373095,0.850800762371261,13.152492828901718,6.911482465406328,1.5401532320282998,"[30, 15, 37, 27]","[32.621212121212125, 20.272727272727273]"
7,168,75.66904755831214,0.9289915123082599,28.60365388490974,10.586241673840592,-0.9904124555256396,"[36, 394, 55, 418]","[45.92261904761905, 408.25]"
8,234,91.49747468305833,0.9806644095868523,41.196561933172056,8.062043576496292,-1.5665955205390463,"[43, 63, 53, 102]","[47.995726495726494, 82.72649572649573]"
9,110,55.01219330881976,0.7768776276571493,18.528430315149418,11.666456003280803,-1.5389672884245242,"[64, 165, 77, 182]","[68.44545454545455, 173.78181818181818]"
10,70,36.384776310850235,0.9196069599700094,15.838392877717922,6.221949693611297,-1.5595283739028523,"[105, 159, 113, 175]","[108.51428571428572, 167.45714285714286]"
11,59,32.04163056034261,0.7757073030744669,11.822459020703556,7.461069307139538,-0.3546747331933786,"[135, 158, 147, 167]","[140.0, 161.76271186440678]"
12,95,50.698484809834994,0.8102361009680882,16.20414010382134,9.497305274900274,0.7979161234653919,"[139, 243, 151, 258]","[145.1263157894737, 250.3684210526316]"
13,45,26.727922061357855,0.9044278377814615,11.90657102457095,5.079660338339257,-1.4161265575402464,"[139, 280, 145, 292]","[141.35555555555555, 284.97777777777776]"
14,79,38.04163056034261,0.8679718945463711,15.088248597311404,7.493025239167814,1.5536029870675452,"[140, 117, 149, 133]","[144.86075949367088, 124.0506329113924]"
15,57,36.04163056034261,0.9005108720700862,14.966837002814074,6.508082058684042,1.3805330697731497,"[140, 360, 148, 374]","[143.7719298245614, 366.859649122807]"
16,122,44.62741699796952,0.8505596206216474,17.50604624823072,9.206055589062318,1.3062069710260344,"[160, 122, 170, 139]","[164.35245901639345, 130.12295081967213]"
17,72,37.45584412271571,0.8587121558641652,14.545489363993461,7.453955675434069,-0.3864947806121923,"[169, 405, 182, 416]","[174.90277777777777, 410.55555555555554]"
18,90,48.80508652763321,0.8976584477474869,18.269653212938245,8.051287367191577,1.308537770638305,"[171, 81, 182, 100]","[175.34444444444443, 90.84444444444445]"
19,55,28.384776310850235,0.7987705192649629,10.992743762847207,6.613628386305995,0.8793869710943547,"[187, 435, 197, 445]","[191.87272727272727, 439.45454545454544]"
20,50,29.79898987322333,0.8988212419665861,12.752668603095344,5.589690823259033,0.664515574646363,"[220, 431, 230, 441]","[224.28, 435.62]"
21,91,40.62741699796952,0.8659194834491621,16.277313916300905,8.141642454231338,1.045342764967699,"[227, 405, 238, 420]","[231.9120879120879, 411.53846153846155]"
22,445,127.84062043356593,0.9850896957768737,59.307306589961975,10.20332032256106,1.5014506325215007,"[239, 275, 251, 329]","[244.75955056179777, 299.6539325842697]"
23,54,35.248737341529164,0.8026248214698403,12.24430880214617,7.303536690220362,1.30455695105114,"[259, 90, 268, 101]","[263.6296296296296, 94.53703703703704]"
24,63,32.62741699796952,0.8460476572790838,12.52014666375978,6.674581211271696,-1.3819575238768491,"[270, 361, 278, 374]","[273.984126984127, 366.53968253968253]"
25,77,32.970562748477136,0.8415069168501713,13.526727310391381,7.307764934260254,0.25498757030772917,"[273, 14, 287, 22]","[279.6753246753247, 17.207792207792206]"
26,50,25.31370849898476,0.7932808619132935,10.447498123532181,6.36102059097371,1.3204462707248705,"[290, 12, 297, 22]","[292.74, 17.04]"
27,234,95.39696961966999,0.9820673292387603,42.11980988383527,7.940870092043293,1.5615671088435235,"[303, 59, 313, 98]","[307.85897435897436, 79.14957264957265]"
28,86,48.52691193458118,0.8015880596637498,15.93242622885297,9.525626872408306,-0.5549208334460463,"[310, 197, 323, 211]","[315.8488372093023, 202.56976744186048]"
29,118,48.970562748477136,0.9516490480372823,22.60920479199621,6.945262492073471,-1.5507399685536185,"[326, 349, 334, 370]","[329.20338983050846, 358.14406779661016]"
30,51,28.384776310850235,0.8812660194765751,12.212682912791944,5.77196515596888,1.1212342864077498,"[390, 40, 398, 52]","[392.62745098039215, 45.92156862745098]"
31,70,36.62741699796952,0.8170172876857503,13.487444152378874,7.777037972404146,-0.11160659459355368,"[404, 475, 419, 484]","[410.84285714285716, 478.2]"
32,58,33.55634918610404,0.9240220098091327,15.04190328109176,5.751110477352096,0.3209799379222605,"[411, 34, 425, 42]","[418.48275862068965, 37.1551724137931]"
33,116,60.42640687119285,0.940810236197724,23.134336968787412,7.841008011807611,-1.1739909967697666,"[417, 270, 431, 290]","[422.76724137931035, 278.8448275862069]"
34,105,45.941125496954285,0.7958633770005147,15.971950117796236,9.670636407579355,-0.5368057393688492,"[417, 478, 433, 492]","[424.2, 484.0952380952381]"
35,82,41.11269837220809,0.8787694953337213,15.43099448825717,7.364387340028886,-1.560572538335558,"[435, 475, 444, 491]","[438.780487804878, 482.8536585365854]"
36,97,37.21320343559643,0.7863269267679305,14.27190527451943,8.817334669967211,0.3192823321367612,"[439, 168, 454, 178]","[445.9381443298969, 172.2577319587629]"
37,100,43.11269837220809,0.7700423230955129,14.808638731512309,9.447804978911954,-1.4347090494167756,"[444, 79, 455, 93]","[449.54, 86.06]"
38,59,36.62741699796952,0.9403026906090158,15.400312810869712,5.241331928646891,1.3447757280943,"[477, 120, 484, 135]","[479.77966101694915, 127.0677966101695]"
