region_id,area_px,perimeter_px,eccentricity,major_axis_length,minor_axis_length,orientation_rad,bbox,centroid_yx
1,70,32.384776310850235,0.8577391827249439,13.319455629309687,6.847333735832574,0.3982007525866234,"[13, 18, 26, 26]","[19.1, 21.414285714285715]"
2,68,36.87005768508881,0.9441224083115761,16.619353080915477,5.477656034163937,-0.729683088155084,"[20, 403, 33, 415]","[25.955882352941178, 407.69117647058823]"
3,64,32.14213562373095,0.863028081275646,13.275702875022356,6.706300259764931,1.5621067255695578,"[30, 15, 37, 27]","[32.53125, 20.21875]"
4,45,31.213203435596427,0.9262715979290697,13.532792323572457,5.099922640531337,1.4373174752514468,"[204, 297, 210, 310]","[206.0222222222222, 302.7111111111111]"
5,50,26.727922061357855,0.858024532232918,11.435722698943188,5.873486728756225,1.485293187873015,"[290, 11, 297, 22]","[292.6, 16.48]"
