region_id,area_px,perimeter_px,eccentricity,major_axis_length_px,minor_axis_length_px,orientation_rad,bbox,centroid_yx
1,675,322.12489168102786,0.9702492775786007,121.05182884698493,29.30763010178369,-0.0632324255420592,"[0, 1, 117, 36]","[58.644444444444446, 27.084444444444443]"
2,266,136.42031021678298,0.9971900642154948,69.12475105228572,5.178350900545871,-0.028492166744749015,"[0, 106, 64, 113]","[29.849624060150376, 109.06390977443608]"
3,25534,6368.45742854949,0.5804545281617367,562.6727630333617,458.18030251157694,0.23352724605035688,"[0, 27, 512, 512]","[312.2950184068301, 336.54472468081775]"
4,481,247.79898987322335,0.9994134911320787,139.09166396639372,4.763100041035346,-0.01901234431015288,"[0, 188, 120, 195]","[57.012474012474016, 191.004158004158]"
5,759,342.9116882454314,0.94124512796306,133.77394090091767,45.178691986638924,-0.18171031721516512,"[0, 264, 121, 317]","[48.88142292490119, 274.8866930171278]"
6,571,250.5685424949238,0.9847674279086909,100.4717773844592,17.46970286499821,-0.011676632692376333,"[0, 330, 97, 349]","[47.51488616462347, 343.6427320490368]"
7,297,143.45584412271572,0.9969532957073342,71.41596839950849,5.570503298608286,-0.023509180440246337,"[0, 424, 68, 432]","[31.44107744107744, 426.6666666666667]"
8,2587,734.173664916307,0.8681086246949627,141.30577211694114,70.14054945460015,-0.417073657020398,"[0, 430, 143, 508]","[105.23308851952068, 475.7734827986084]"
9,80,42.8700576850888,0.9225436445646799,18.63791169790305,7.192235225656115,0.8286120318522897,"[8, 365, 22, 380]","[14.975, 371.175]"
10,300,112.84062043356595,0.9443913445965618,43.50158125412026,14.304348427898706,0.08581606284506196,"[12, 0, 49, 18]","[33.973333333333336, 5.3]"
11,72,36.384776310850235,0.7225094789899685,13.045358726639067,9.01905244753165,-0.04854141938892681,"[12, 220, 25, 231]","[19.375, 225.01388888888889]"
12,155,59.11269837220809,0.8962237745063448,22.567938491789736,10.011188033476211,0.06557425191352045,"[27, 49, 51, 62]","[37.81935483870968, 56.29032258064516]"
13,61,41.89949493661166,0.9869976305911786,22.41409181428186,3.602724653942895,1.5541791485237892,"[38, 308, 43, 329]","[40.0, 317.95081967213116]"
14,168,85.84062043356596,0.9870844897601758,39.22441158826862,6.28377155752853,1.5668074133125565,"[44, 63, 53, 100]","[48.220238095238095, 82.35714285714286]"
15,301,130.3259018078045,0.9884897596523733,59.3883596200773,8.984733611777264,1.5026398156146483,"[51, 40, 65, 93]","[59.04651162790697, 61.27906976744186]"
16,62,40.2842712474619,0.9450403541982719,18.719605114263054,6.120444354841237,1.3754381875322133,"[81, 427, 90, 444]","[85.04838709677419, 434.35483870967744]"
17,87,51.87005768508881,0.7493068958902945,15.590808935169445,10.324590782754141,-1.170660283995421,"[82, 51, 94, 66]","[88.70114942528735, 59.41379310344828]"
18,130,50.62741699796952,0.9002616945116083,20.538771013501027,8.941536478932598,0.3236313670169675,"[87, 10, 107, 22]","[95.37692307692308, 16.376923076923077]"
19,482,119.25483399593905,0.8088735687447363,39.67877956628224,23.330432375172546,-0.6941662537756625,"[102, 349, 134, 379]","[122.0311203319502, 367.350622406639]"
20,80,44.55634918610404,0.972540415206482,21.901068941309674,5.097124603931201,1.5216070981596281,"[103, 292, 109, 312]","[105.7875, 301.2]"
21,102,65.89949493661166,0.9922861483837992,34.20226243668168,4.240004651525326,-0.03739821919731429,"[108, 507, 141, 512]","[126.70588235294117, 509.7549019607843]"
22,1846,548.1492782986674,0.9865774572559907,221.16698816447354,36.11523566301345,1.5136036306699787,"[116, 156, 160, 344]","[131.7854821235103, 265.2361863488624]"
23,1714,512.6761902332486,0.9026042056582382,104.89273231074051,45.153323972673874,-1.509806597302445,"[117, 0, 170, 103]","[132.1271878646441, 46.817386231038505]"
24,247,71.89949493661166,0.9585551071780765,34.20425264573198,9.745037482682278,1.5567241405985102,"[121, 112, 131, 142]","[125.40080971659918, 127.53036437246963]"
25,737,364.18376618407353,0.9996881328911258,199.89336373176891,4.991881852631955,-0.02103436571710483,"[134, 184, 311, 192]","[222.7449118046133, 187.81411126187245]"
