ImageID,Variant,phi1,phi2,phi3,phi4
img1,base,3.1179860113977487,8.06593894302511,9.553008179337278,11.791246796539655
img1,rot30,3.117098589103283,8.077198389728094,9.552247917510734,11.79358707602434
img1,scale1.2,3.1158925828462607,8.065827590771654,9.548729893726179,11.792165823775303
img1,mirrorH,3.117986011397746,8.065938943025062,9.553008179337272,11.791246796539541
img1,"trans10,10",3.117986011397749,8.065938943025111,9.553008179337736,11.791246796540765
img1,contrast1.3+20,2.228972492493117,5.896075035611926,8.431245740805315,7.977730164921698
img2,base,3.2045633655074695,11.998093615489935,11.999983736549977,11.999999929921103
img2,rot30,3.20438510682973,11.997175144442169,11.999990978158017,11.999999868512747
img2,scale1.2,3.204264890238761,11.827938374400606,11.999893894769237,11.999999657680156
img2,mirrorH,3.204563365507467,11.998093615490028,11.999983736549973,11.999999929921103
img2,"trans10,10",3.2045633655074695,11.998093615489935,11.999983736549963,11.999999929921103
img2,contrast1.3+20,2.219725462890746,6.669266984394647,9.345335015868868,8.007605801303935
img3,base,3.081378017209386,8.775359103633322,11.922620141171391,11.992166401125903
img3,rot30,3.0813617094689656,8.776523014582326,11.923374716830102,11.992254072994102
img3,scale1.2,3.08144700558099,8.758785439828634,11.907772082532048,11.993005392422495
img3,mirrorH,3.081378017209387,8.77535910363326,11.922620141169082,11.992166401126152
img3,"trans10,10",3.081378017209386,8.775359103633324,11.922620141171391,11.992166401125903
img3,contrast1.3+20,2.341439364744746,5.292080451921699,8.08657545331003,7.532686411026956
img4,base,3.1993690487332245,8.48419383804966,11.892968672815995,11.999314587817777
img4,rot30,3.1830884590777315,7.861119347432694,10.740191202532078,11.851582986801757
img4,scale1.2,3.199292538989505,8.505029967264516,11.893975669000476,11.999364944337715
img4,mirrorH,3.199369048733222,8.484193838049718,11.892968672816076,11.99931458781777
img4,"trans10,10",3.1994777053373094,8.388012178309388,11.919581933671552,11.999067146962902
img4,contrast1.3+20,2.573338688609893,5.934578787241292,8.711285606541946,7.9212625700306525
