region_id,area_px,perimeter_px,eccentricity,major_axis_length_px,minor_axis_length_px,orientation_rad,bbox,centroid_yx
1,59428,13375.386032592094,0.5521000714113394,635.6631048262517,530.0018199147585,-1.530913929039719,"[0, 0, 512, 512]","[260.5484115231877, 276.0526856027462]"
2,213,104.89949493661166,0.9952976403082177,56.20106859626568,5.443852388951047,-0.0030513267579531426,"[0, 187, 49, 195]","[21.929577464788732, 191.4600938967136]"
3,502,210.5685424949238,0.6901438608045247,50.33791514798124,36.42814974085319,0.5258485606916752,"[0, 267, 51, 299]","[26.93426294820717, 278.48605577689244]"
4,145,49.798989873223334,0.7266493783558514,16.884572404839425,11.599844783881151,1.2115563368925806,"[0, 463, 12, 480]","[4.834482758620689, 471.0827586206897]"
5,269,137.3847763108502,0.9971836471961388,69.87367299759309,5.240420087773785,-0.027903833393238764,"[0, 500, 64, 508]","[29.401486988847584, 504.4944237918216]"
6,305,129.46803743153546,0.9471827968703678,46.79677233801733,15.007451964452738,0.7498968363285252,"[9, 218, 46, 252]","[29.0, 233.7377049180328]"
7,1335,476.34523779156063,0.37514089808761997,59.231511164219405,54.90570373339615,1.137072043899487,"[15, 38, 76, 101]","[47.885393258426966, 66.77602996254681]"
8,273,121.39696961966999,0.9181473647438774,38.79502220044265,15.372104301547813,0.6354998966976769,"[25, 321, 63, 345]","[43.57875457875458, 331.8021978021978]"
9,134,69.01219330881975,0.7762582905325986,21.985838310590957,13.860202156638145,-1.0314907462901257,"[36, 297, 54, 318]","[46.343283582089555, 309.1940298507463]"
10,3839,916.2102448427661,0.9399772433487706,209.84120514806517,71.60561155233923,1.4229533124539793,"[57, 157, 181, 344]","[125.4297994269341, 255.32742901797343]"
11,317,135.39696961967,0.9262424795087874,48.29400056242615,18.20337077955239,0.2626357983953003,"[65, 220, 108, 246]","[90.27129337539432, 228.42271293375396]"
12,308,130.08326112068522,0.7295558892146764,37.25427519098435,25.478988503944827,1.234462649076056,"[82, 285, 113, 313]","[100.2012987012987, 296.8376623376623]"
13,197,82.2842712474619,0.9795160280151859,38.958381829243415,7.844901728763971,-0.06953925090953669,"[108, 504, 143, 512]","[127.16243654822335, 508.24365482233503]"
14,946,500.0538238691624,0.9996845961139043,266.13843290961734,6.683775682472506,-0.02332340097846475,"[135, 260, 370, 275]","[254.5845665961945, 264.64164904862577]"
15,977,273.90054095713816,0.8276083681029531,57.61373768310402,32.33893476610979,-0.7710733411340523,"[171, 47, 230, 91]","[199.69293756397133, 67.79529170931423]"
16,263,131.1126983722081,0.996038238012294,66.77191659813501,5.9377575562153595,-0.03906454988391025,"[172, 360, 234, 368]","[203.34600760456274, 363.31178707224336]"
